ship_name,operator,url,callsign,IMO_number,MMSI_number,crew,capacity
Coral Princess,Princess Cruises,https://en.wikipedia.org/wiki/Coral_Princess,ZCDF4,9229659,310376000,900,2400
Crown Princess,Princess Cruises,https://en.wikipedia.org/wiki/Crown_Princess_(2005),ZCDM6, 9293399,310500000,1201,3674
Diamond Princess,Princess Cruises,https://en.wikipedia.org/wiki/Diamond_Princess_(ship),2HFZ7,9228198,310404000,1100,3247
Emerald Princess,Princess Cruises,https://en.wikipedia.org/wiki/Emerald_Princess,ZCDP8,9333151,310531000,1200,3679
Golden Princess,Princess Cruises,https://en.wikipedia.org/wiki/Golden_Princess_(2000),ZCDA9,9192351,310344000,1100,3158
Grand Princess,Princess Cruises,https://en.wikipedia.org/wiki/Grand_Princess,ZCBU5,9104005,310327000,1150,3122
Island Princess,Princess Cruises,https://en.wikipedia.org/wiki/MS_Island_Princess_(2003),ZCDG4,9230402,310384000,900,2657
Majestic Princess,Princess Cruises,https://www.vesselfinder.com/vessels/MAJESTIC-PRINCESS-IMO-9614141-MMSI-232002990,MABI4,9614141,232002990,1350,4272
Pacific Princess,Princess Cruises,https://en.wikipedia.org/wiki/Pacific_Princess,ZCDS3,9187887,310504000,373,826
Regal Princess,Princess Cruises,https://en.wikipedia.org/wiki/Regal_Princess_(2013),ZCEK6,9584724,310674000,1350,4272
Royal Princess,Princess Cruises,https://en.wikipedia.org/wiki/Royal_Princess_(2012),ZCEI3,9584712,310661000,1350,4272
Ruby Princess,Princess Cruises,https://en.wikipedia.org/wiki/Ruby_Princess,ZCDY2,9378462,310567000,1200,3672
Sapphire Princess,Princess Cruises,https://en.wikipedia.org/wiki/Sapphire_Princess,2HFZ6,9228186,235103357,1100,3214
Sea Princess,Princess Cruises,https://en.wikipedia.org/wiki/Sea_Princess,ZCBU3,9150913,310465000,910,2417
Sky Princess,Princess Cruises,https://www.vesselfinder.com/vessels/SKY-PRINCESS-IMO-9802396-MMSI-310780000,ZCEV9,9802396,310780000,1350,4402
Star Princess,Princess Cruises,https://en.wikipedia.org/wiki/Star_Princess_(2001),ZCDD6,9192363,310361000,1205,3115
Sun Princess,Princess Cruises,https://en.wikipedia.org/wiki/MS_Sun_Princess,ZCBU6,9000259,310438000,924,2419
Atlantic Star,Pullmantur Cruises,https://en.wikipedia.org/wiki/Atlantic_Star_(cruise_ship),9HOC8,8024026,,600,1250
Horizon,Pullmantur Cruises,https://en.wikipedia.org/wiki/MV_Horizon,9HYZ9,8807088,249727000,620,1828
Monarch,Pullmantur Cruises,https://en.wikipedia.org/wiki/MS_Monarch,9HA3314,8819500,229415000,822,2752
